"","norm_country","eq5d_data_year","norm_id","eq5d_data_version","value_set_country","value_set_version","value_set_type","value_set_year","norm_doi","norm_url","default"
"34","Slovenia","2000","janssen_euvas","EQ-5D-3L","Europe","EQ-5D-3L","VAS","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",FALSE
"35","Slovenia","2000","janssen_vas","EQ-5D-3L","Slovenia","EQ-5D-3L","VAS","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",TRUE
"36","Spain","2001-2003","janssen_euvas","EQ-5D-3L","Europe","EQ-5D-3L","VAS","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",FALSE
"37","Spain","2001-2003","janssen_tto","EQ-5D-3L","Spain","EQ-5D-3L","TTO","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",TRUE
"38","Spain","2001-2003","janssen_vas","EQ-5D-3L","Spain","EQ-5D-3L","VAS","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",FALSE
"39","Sweden","1994","janssen_euvas","EQ-5D-3L","Europe","EQ-5D-3L","VAS","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",TRUE
"40","Thailand","2007","janssen_euvas","EQ-5D-3L","Europe","EQ-5D-3L","VAS","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",TRUE
"41","United Kingdom","1993","janssen_euvas","EQ-5D-3L","Europe","EQ-5D-3L","VAS","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",FALSE
"42","United Kingdom","1993","janssen_tto","EQ-5D-3L","United Kingdom","EQ-5D-3L","TTO","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",FALSE
"43","United Kingdom","1993","janssen_vas","EQ-5D-3L","United Kingdom","EQ-5D-3L","VAS","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",FALSE
"44","United Kingdom","1993","mvh","EQ-5D-3L","United Kingdom","EQ-5D-3L","TTO","1993","","https://www.york.ac.uk/che/pdf/DP172.pdf",TRUE
"45","United States of America","2000-2002","janssen_euvas","EQ-5D-3L","Europe","EQ-5D-3L","VAS","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",FALSE
"46","United States of America","2000-2002","janssen_tto","EQ-5D-3L","United States of America","EQ-5D-3L","TTO","","10.1007/978-94-007-7596-1_3","https://www.ncbi.nlm.nih.gov/books/NBK500364/",TRUE
